rowid,email,image,location,meetup,meetup_id,meetup_image,name,organizer,pro_network,twitter,website,facebook,github,external_website,external_ website,instagram,Linkedin,timepad,google_plus,timepad_id,youtube,whatsapp,new_location,latitude,longitude
96,sf@pyladies.com,pyladies_sf_logo.png,"{""latitude"": 37.77, ""longitude"": -122.4}",pyladiessf,4663661776,https://secure.meetupstatic.com/photos/event/6/7/4/0/highres_461906432.jpeg,"San Francisco, CA",Michelle Glauser,Python Software Foundation Meetup Pro Network,pyladiessf,sf,,,,,,,,,,,,"37.77, -122.4",37.77,-122.4
97,santacruz@pyladies.com,pyladies_santa_cruz.png,"{""latitude"": 36.99, ""longitude"": -122.06}",PyLadiesSC,4663509776,,"Santa Cruz, CA",Santa Cruz PyLadies,,PyLadiesSC,,,,,,,,,,,,,"36.99, -122.06",36.99,-122.06
98,saocarlos@pyladies.org,pyladies_saocarlos.png,"{""latitude"": -22.0087175, ""longitude"": -47.8909142}",,,,"Sao Carlos, Brazil",,,pyladiesbrazil,http://brasil.pyladies.com,PyLadiesSaoCarlos,pyladies-brazil,1,,,,,,,,,"-22.0087175, -47.8909142",-22.0087175,-47.8909142
99,saoluis@pyladies.org,pyladies_saoluis.png,"{""latitude"": -2.53073, ""longitude"": -44.3068}",,,,"São Luís, Brazil",,,PyladiesSlz,,PyLadiesSLZ,,,,,,,,,,,"-2.53073, -44.3068",-2.53073,-44.3068
100,seattle@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 47.68, ""longitude"": -122.29}",seattle-pyladies,4663660624,https://secure.meetupstatic.com/photos/event/2/a/e/d/highres_432550989.jpeg,"Seattle, WA",Wendy Grus,Python Software Foundation Meetup Pro Network,pyladiesSEA,sea,,,,,,,,,,,,"47.68, -122.29",47.68,-122.29
101,seoul@pyladies.com,pyladies-seoul-logo.png,"{""latitude"": 37.5666791, ""longitude"": 126.9782914}",,10708842,,"Seoul, Korea",,,PyladiesSeoul,seoul,pyladieseoul,,,,,,,https://plus.google.com/106890062399007175692/posts,,,,"37.5666791, 126.9782914",37.5666791,126.9782914
102,siliconvalley@pyladies.com,pyladies-silicion-logo.png,"{""latitude"": 37.37, ""longitude"": -122.03}",PyLadies-Silicon-Valley,4663509776,https://secure.meetupstatic.com/photos/event/6/5/2/a/highres_444745898.jpeg,"Silicon Valley, CA",Sarah K,Python Software Foundation Meetup Pro Network,,http://siliconvalley.pyladies.com,svpyladies,SiliconValleyPyLadies,,,,,,,,,,"37.37, -122.03",37.37,-122.03
103,sorocaba@pyladies.com,pyladies_sorocaba_logo.jpg,"{""latitude"": -23.50167, ""longitude"": -47.45806}",,,,"Sorocaba, SP",,,,sorocaba,PyLadiesSorocaba,,,,,,,,,,,"-23.50167, -47.45806",-23.50167,-47.45806
104,sg@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 1.2904527, ""longitude"": 103.852038}",PyLadies-SG,14910222,,Singapore,,,pyladiessg,sg,,,,,,,,,,,,"1.2904527, 103.852038",1.2904527,103.852038
105,spain@pyladies.com,pyladies_es.png,"{""latitude"": 40.0028028, ""longitude"": -4.003104}",,,,Spain,,,PyLadies_ES,,,,,,,,,,,,,"40.0028028, -4.003104",40.0028028,-4.003104
106,madrid@pyladies.com,pyladies_madrid.png,"{""latitude"": 40.42, ""longitude"": -3.71}",PyLadiesMadrid,4663660624,https://secure.meetupstatic.com/photos/event/a/2/7/c/highres_485981596.jpeg,"Madrid, Spain",María Medina,Python Software Foundation Meetup Pro Network,PyLadiesMadrid,,,PyLadiesMadrid,,,,,,,,,,"40.42, -3.71",40.42,-3.71
107,stockholm@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 59.33, ""longitude"": 18.07}",pyladiesstockholm,4663660752,https://secure.meetupstatic.com/photos/event/b/5/9/c/highres_377086492.jpeg,"Stockholm, Sweden",Eleonore Mayola,Python Software Foundation Meetup Pro Network,,stockholm,,,,,,,,,,,,"59.33, 18.07",59.33,18.07
108,suldeminasgerais@pyladies.com,pyladies_sulmg.png,"{""latitude"": -20.718889, ""longitude"": -46.609722}",,,,"Sul de Minas, Brazil",,,,,Pyladies Sul de Minas Gerais,,,,,,,,,,,"-20.718889, -46.609722",-20.718889,-46.609722
109,sydney@pyladies.com,,"{""latitude"": -33.87, ""longitude"": 151.21}",Sydney-PyLadies,4663660624,,"Sydney, Australia",Rachel Bunder,,sydneypyladies,,pyladiesau,,,,,,,,,,,"-33.87, 151.21",-33.87,151.21
110,pyladies.tw@gmail.com,pyladies-tw-logo.png,"{""latitude"": 25.02, ""longitude"": 121.45}",PyLadiesTW,4663660752,https://secure.meetupstatic.com/photos/event/9/f/e/7/highres_433120935.jpeg,Taiwan,姿君 (Kelly),,PyLadiesTW,http://tw.pyladies.com,,,1,,,,,,,,,"25.02, 121.45",25.02,121.45
111,teresina@pyladies.com,pyladies_teresina.png,"{""latitude"": -5.1816948, ""longitude"": -43.0212865}",,,,"Teresina, Brazil",,,pyladiesthe,https://pyladiesteresina.github.io/,PyLadiesTeresina,,1,,,,,,,,,"-5.1816948, -43.0212865",-5.1816948,-43.0212865
112,tirana@pyladies.com,,"{""latitude"": 41.327953, ""longitude"": 19.819025}",,,,"Tirana, Albania",,,PyLadiesTirana,,PyLadiesTirana,PyLadiesTirana,,,,,,,,,,"41.327953, 19.819025",41.327953,19.819025
113,pyladies-tokyo@googlegroups.com,pyladies_tokyo.png,"{""latitude"": 35.6, ""longitude"": 139.7}",,,,Tokyo,,,PyLadiesTokyo,http://tokyo.pyladies.com/,PyLadiesTokyo,PyLadiesTokyo,1,,,,,,,,,"35.6, 139.7",35.6,139.7
114,toronto@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 43.65, ""longitude"": -79.44}",Pyladies-Toronto,4663660624,https://secure.meetupstatic.com/photos/event/5/e/4/9/highres_446124137.jpeg,"Toronto, Canada",Jill Cates,Python Software Foundation Meetup Pro Network,,toronto,,,,,,,,,,,,"43.65, -79.44",43.65,-79.44
115,tunis@pyladies.com,pyladies-tunis.png,"{""latitude"": 36.806389, ""longitude"": 10.181667}",,,,"Tunis, Tunisia",PyLadies Tunis,,PyLadiesTunis,tunis,PyLadiesTunis,PyLadiesTunis,,,pyladiestunis,,,,,channel/UCllZITsohBLf1mbACmRQJhw/videos,,"36.806389, 10.181667",36.806389,10.181667
116,uy@pyladies.com,pyladies-uy.jpeg,"{""latitude"": -34.87, ""longitude"": -56.17}",PyLadiesUy,4663660752,https://www.meetup.com/es-ES/Grupo-de-Meetup-en-Montevideo-de-Python/photos/30254037/#488184726,PyLadies Uruguay,PyLadies Uruguay,Python Software Foundation Meetup Pro Network,PyLadiesUy,http://uy.pyladies.com,,,1,,,,,,,,,"-34.87, -56.17",-34.87,-56.17
117,vale@pyladies.com,pyladies_vale.jpg,"{""latitude"": -23.2237, ""longitude"": -45.9009}",,,,"Vale do Paraiba, Brazil",,,pyladiesvale,http://vale.pyladies.com,pyladiesvale,pyladiesvale,1,,,,,,,,,"-23.2237, -45.9009",-23.2237,-45.9009
118,vancouver@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 49.28, ""longitude"": -123.04}",PyLadies-Vancouver,4663660624,https://secure.meetupstatic.com/photos/event/a/d/d/e/highres_447404510.jpeg,"Vancouver, Canada",Mariatta,Python Software Foundation Meetup Pro Network,pyladiesvan,vancouver,,,,,,,,,,,,"49.28, -123.04",49.28,-123.04
119,vienna@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 48.22, ""longitude"": 16.37}",pyladies-vienna,4663660752,https://secure.meetupstatic.com/photos/event/8/b/0/8/highres_212075592.jpeg,"Vienna, Austria",Týna Doležalová,,pyladies_vie,vienna,,,,,,,,,,,,"48.22, 16.37",48.22,16.37
120,jackiekazil@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 38.95, ""longitude"": -77.02}",dc-pyladies,4663660624,https://secure.meetupstatic.com/photos/event/4/6/7/a/highres_170838042.jpeg,"Washington, DC",Katie Cunningham,,pyladiesdc,dc,,,,,,,,,,,,"38.95, -77.02",38.95,-77.02
121,zaria@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 7.6559, ""longitude"": 11.1517}",,,,"Zaria, Kaduna",,,,,,,,,,,,,,,,"7.6559, 11.1517",7.6559,11.1517
122,rural@pyladies.com,pyladies-rural.jpg,"{""latitude"": -22.742238, ""longitude"": -43.458664}",,,,"Nova Iguacu, RJ",,,,,pyladiesrural,PyladiesRural,,,,,,,,,,"-22.742238, -43.458664",-22.742238,-43.458664
123,monrovia@pyladies.com,pyladies_dc_atl_sea_tor.png,"{""latitude"": 6.313333, ""longitude"": -10.801389}",,,,"Monrovia, Liberia",,,,,,,,,,,,,,,,"6.313333, -10.801389",6.313333,-10.801389
124,owerri@pyladies.com,pyladiesimologo.png,"{""latitude"": 5.47631, ""longitude"": 7.025853}",,201759643,,"Imo, Nigeria",,,Pyladiesowerri,IN,Pyladies Imo,,,,,,,,,,bit.ly/pyladiesimo,"5.47631, 7.025853",5.47631,7.025853
125,bcn@pyladies.com,pyladies-bcn.jpeg,"{""latitude"": 41.4, ""longitude"": 2.17}",PyLadies-BCN,4663660752,https://secure.meetupstatic.com/photos/event/7/9/a/6/highres_336991142.jpeg,"Barcelona, BCN",Núria Pujol,Python Software Foundation Meetup Pro Network,PyLadiesBCN,https://pybcn.org/pyladies-bcn/,,,1,,,,,,,,,"41.4, 2.17",41.4,2.17
126,asaba@pyladies.com,pyladies-asaba.png,"{""latitude"": 6.19824, ""longitude"": 6.73187}",,,,"Asaba, Nigeria",,,Pyladiesasaba,,asabapyladies,Pyladiesasaba,,,,,,,,,,"6.19824, 6.73187",6.19824,6.73187
127,guatemalacity@pyladies.com,pyladies-guatemala_city.jpg,"{""latitude"": 14.62, ""longitude"": -90.52}",,,,"Guatemala city, Guatemala",PyladiesGT City,,PyLadiesGTCity,,PyladiesGTCity,,,,PyLadiesGTCity,,,,,,,"14.62, -90.52",14.62,-90.52
128,maputo@pyladies.com,pyladies_mpt.png,"{""latitude"": 25.9692, ""longitude"": 32.5732}",pyladies-mpt,,,"Maputo, Mozambique",,,,,,,,,,,,,,,,"25.9692, 32.5732",25.9692,32.5732
129,santiago@pyladies.com,pyladies-SantiagoChile.png,"{""latitude"": -33.45, ""longitude"": -70.666667}",pyladies-santiago-de-chile,,,"Santiago, Chile",,,pyladiesSCL,,@pyladiesSCL,,,,pyladiesSCL,,,,,,,"-33.45, -70.666667",-33.45,-70.666667
130,panama@pyladies.com,Pyladies_Panama.png,"{""latitude"": 8.54, ""longitude"": 80.78}",,,,Panama,PyLadies Panama,,PyLadiesPanama,,,,,,pyladiespanama,,,,,,,"8.54, 80.78",8.54,80.78
